id,symbol,name,createdAt
1,TOMCL,The Organic Meat Company Ltd,18/11/2025 2:10
2,SAZEW,Sazgar Engineering Works Limited,19/11/2025 2:10
3,PIBTL,Pakistan International Bulk Terminal,20/11/2025 2:10
4,SEARL,The Searle Company Limited,21/11/2025 2:10
5,KEL,Karachi Electric Limited,22/11/2025 2:10
6,HUBC,Hub Power Company Limited,23/11/2025 2:10
7,OGDC,Oil and Gas Development Company Limited,24/11/2025 2:10
8,MEBL,Meezan Bank Limited,25/11/2025 2:10
9,ENGROH,Engro Holdings Limited,26/11/2025 2:10
10,HALEON,Haleon Limited,27/11/2025 2:10
11,AVN,Avanceon Limited,28/11/2025 2:10
12,FCEPL,Frieslandcampina Engro Pakistan Limited,29/11/2025 2:10
13,WTL,Worldcall Telecom Limited,30/11/2025 2:10
14,DHPL,DH Partners Limited,01/12/2025 2:10
15,LCI,Lucky Core Industries Limited,02/12/2025 2:10
16,FHAM,First Habib Modaraba,03/12/2025 2:10
17,STPL,Siddiqsons Tin Plate Limited,04/12/2025 2:10
18,TBL,Treet Battery Limited.,05/12/2025 2:10
19,AHCL,Arif Habib Corporation Limited,06/12/2025 2:10
20,ZAL,Zarea Limited,07/12/2025 2:10
21,PAEL,Pak Elektron Limited,08/12/2025 2:10
22,FABL,Faysal Bank Limited,09/12/2025 2:10
23,CPHL,Citi Pharma Ltd.,10/12/2025 2:10
24,SSGC,Sui Southern Gas Company Limited,11/12/2025 2:10
25,SYS,Systems Limited,12/12/2025 2:10
26,LOADS,Loads Limited,13/12/2025 2:10
27,MLCF,Maple Leaf Cement Factory Limited,14/12/2025 2:10
